epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,144.681,1.36868,1.51309,1.17221,0.5956,0.54305,0.59144,0.351,1.3636,1.0797,1.12095,0.0671392,0.000331927,0.000331927
2,276.991,1.25585,0.96962,1.11354,0.75356,0.67221,0.73342,0.48065,1.18757,0.89031,1.03538,0.0340734,0.000599399,0.000599399
3,409.232,1.19887,0.86421,1.07909,0.69702,0.62086,0.71646,0.47767,1.1764,0.98944,1.02188,0.000941519,0.000800872,0.000800872
4,542.327,1.16709,0.81041,1.06575,0.79952,0.76137,0.80903,0.54275,1.14271,0.78537,1.01502,0.000703,0.000703,0.000703
5,675.561,1.12383,0.74511,1.03913,0.81596,0.77168,0.83565,0.58749,1.08676,0.69588,0.99531,0.000604,0.000604,0.000604
6,805.116,1.08734,0.70156,1.02315,0.86532,0.76666,0.85051,0.60307,1.06729,0.69787,0.98616,0.000505,0.000505,0.000505
7,937.679,1.05195,0.66301,1.0047,0.86316,0.80924,0.87287,0.62554,1.05212,0.63708,0.97942,0.000406,0.000406,0.000406
8,1068.37,1.02453,0.62923,0.99102,0.86819,0.81725,0.87768,0.62751,1.0465,0.62768,0.97394,0.000307,0.000307,0.000307
9,1198.94,0.99648,0.60293,0.97976,0.88667,0.82223,0.88687,0.653,1.01634,0.59861,0.96302,0.000208,0.000208,0.000208
10,1328.81,0.96425,0.57562,0.96874,0.8865,0.8424,0.89581,0.66435,1.00301,0.58093,0.95541,0.000109,0.000109,0.000109
