Frame,FPS,Latency_ms,bicycle,bus,car,motorbike,person,truck
0,2.91,344.17,0,0,1,0,0,0
1,71.44,14.00,0,0,2,0,0,0
2,76.91,13.00,0,0,2,0,0,0
3,71.44,14.00,0,0,1,0,0,0
4,76.94,13.00,0,0,1,0,0,0
5,71.43,14.00,0,0,1,0,0,0
6,76.71,13.04,0,0,1,0,0,0
7,71.43,14.00,0,0,1,0,0,0
8,76.94,13.00,0,0,1,0,0,0
9,76.93,13.00,0,0,1,0,0,0
10,76.93,13.00,0,0,0,0,0,0
11,37.04,27.00,0,1,0,0,0,0
12,76.93,13.00,0,0,0,0,0,0
13,76.91,13.00,0,0,0,0,0,0
14,76.76,13.03,0,0,0,0,0,0
15,76.92,13.00,0,0,2,0,0,0
16,71.43,14.00,0,0,2,0,0,0
17,76.91,13.00,0,0,1,0,0,0
18,76.93,13.00,0,0,1,0,1,0
19,76.93,13.00,0,0,1,0,1,0
20,76.94,13.00,0,0,2,0,1,0
21,76.93,13.00,0,0,2,0,1,0
22,76.92,13.00,0,0,1,0,1,0
23,76.47,13.08,0,0,1,0,0,0
24,71.43,14.00,0,0,2,0,0,0
25,71.43,14.00,0,0,2,0,1,0
26,74.05,13.50,0,0,2,0,1,0
27,76.93,13.00,0,0,1,0,1,0
28,71.44,14.00,0,0,2,0,1,0
29,83.35,12.00,0,0,2,0,1,0
30,76.93,13.00,0,0,2,0,1,0
31,76.92,13.00,0,0,2,0,1,0
32,76.92,13.00,0,0,1,0,1,0
33,77.25,12.95,0,0,2,0,1,0
34,37.04,27.00,0,0,2,0,1,0
35,76.93,13.00,0,0,2,0,1,0
36,75.51,13.24,0,0,2,0,1,0
37,37.73,26.51,0,0,2,0,1,0
38,76.96,12.99,0,0,2,0,1,0
39,76.94,13.00,0,0,2,0,1,0
40,76.82,13.02,0,0,2,0,1,0
41,71.22,14.04,0,0,3,0,1,0
42,75.79,13.19,0,0,2,0,0,0
43,76.92,13.00,0,0,3,0,0,0
44,76.94,13.00,0,0,2,0,0,0
45,76.91,13.00,0,0,2,0,0,0
46,71.45,14.00,0,0,2,0,0,0
47,76.92,13.00,0,0,4,0,0,0
48,76.90,13.00,0,0,3,0,0,0
49,71.41,14.00,0,0,4,0,0,0
50,76.93,13.00,0,0,3,0,0,0
51,76.90,13.00,0,0,3,0,0,0
52,62.50,16.00,0,0,4,0,0,0
53,71.43,14.00,0,0,4,0,0,0
54,79.98,12.50,0,0,3,0,0,0
55,37.07,26.98,0,0,6,0,0,0
56,74.00,13.51,0,0,5,0,0,0
57,76.93,13.00,0,0,4,0,0,0
58,76.92,13.00,0,0,4,0,0,0
59,76.93,13.00,0,0,4,0,0,0
60,76.88,13.01,0,0,4,0,0,0
61,76.90,13.00,0,0,4,0,0,0
62,76.89,13.01,0,0,4,0,0,0
63,76.92,13.00,0,0,3,0,0,0
64,76.91,13.00,0,0,3,0,0,0
65,76.89,13.01,0,0,4,0,0,0
66,76.91,13.00,0,0,5,0,0,0
67,83.31,12.00,0,0,5,0,0,0
68,76.92,13.00,0,0,4,0,0,0
69,76.92,13.00,0,0,5,0,0,0
70,83.35,12.00,0,0,4,0,0,0
71,83.33,12.00,0,0,5,0,0,0
72,76.93,13.00,0,0,5,0,0,0
73,35.71,28.00,0,0,3,0,0,0
74,76.92,13.00,0,0,3,0,0,0
75,76.93,13.00,0,0,4,0,0,0
76,79.93,12.51,0,0,4,0,0,0
77,77.62,12.88,0,0,3,0,0,0
78,76.93,13.00,0,0,3,0,0,0
79,36.34,27.51,0,0,5,0,0,0
80,76.93,13.00,0,0,5,0,0,0
81,76.92,13.00,0,0,4,0,0,0
82,76.11,13.14,0,0,5,0,0,0
83,76.92,13.00,0,0,6,0,0,0
84,76.92,13.00,0,0,6,0,0,0
85,79.94,12.51,0,0,6,0,0,0
86,37.03,27.00,0,0,6,0,0,0
87,82.16,12.17,0,0,6,0,0,0
88,82.17,12.17,0,0,6,0,0,0
89,76.90,13.00,0,0,6,0,0,0
90,76.92,13.00,0,0,6,0,0,0
91,76.91,13.00,0,0,6,0,0,0
92,83.35,12.00,0,0,6,0,0,0
93,76.87,13.01,0,0,6,0,0,0
94,76.92,13.00,0,0,6,0,0,0
95,76.93,13.00,0,0,6,0,0,0
96,79.60,12.56,0,0,6,0,0,0
97,77.60,12.89,0,0,7,0,0,0
98,79.76,12.54,0,0,6,0,0,0
99,83.37,11.99,0,0,6,0,0,0
100,71.41,14.00,0,0,6,0,0,0
101,76.54,13.07,0,0,6,0,0,0
102,76.91,13.00,0,0,6,0,0,0
103,76.89,13.01,0,0,5,0,0,0
104,79.96,12.51,0,0,6,0,0,0
105,82.25,12.16,0,0,6,0,0,0
106,76.91,13.00,0,0,6,0,0,0
107,74.04,13.51,0,0,6,0,0,0
108,71.42,14.00,0,0,7,0,0,0
109,76.97,12.99,0,0,6,0,0,0
110,76.44,13.08,0,0,6,0,0,0
111,76.93,13.00,0,0,6,0,0,0
112,76.92,13.00,0,0,6,0,0,0
113,79.94,12.51,0,0,6,0,0,0
114,76.91,13.00,0,0,6,0,0,0
115,76.90,13.00,0,0,6,0,0,0
116,76.90,13.00,0,0,6,0,0,0
117,71.44,14.00,0,0,7,0,0,0
118,74.03,13.51,0,0,7,0,0,0
119,83.35,12.00,0,0,7,0,0,0
120,76.92,13.00,0,0,7,0,0,0
121,76.93,13.00,0,0,6,0,0,0
122,76.93,13.00,0,0,6,0,0,0
123,76.92,13.00,0,0,6,0,0,0
124,83.34,12.00,0,0,6,0,0,0
125,76.91,13.00,0,0,6,0,0,0
126,66.64,15.01,0,0,6,0,0,0
127,76.93,13.00,0,0,6,0,0,0
128,76.96,12.99,0,0,6,0,0,0
129,74.47,13.43,0,0,5,0,0,0
130,76.89,13.01,0,0,5,0,0,0
131,76.92,13.00,0,0,5,0,0,0
132,76.92,13.00,0,0,6,0,0,0
133,76.94,13.00,0,0,5,0,0,0
134,76.91,13.00,0,0,5,0,0,0
135,76.92,13.00,0,0,5,0,0,0
136,71.45,14.00,0,0,5,0,0,0
137,76.91,13.00,0,0,4,0,0,0
138,76.89,13.01,0,0,4,0,0,0
139,76.93,13.00,0,0,4,0,0,0
140,76.92,13.00,0,0,4,0,0,0
141,76.90,13.00,0,0,5,0,0,0
142,76.91,13.00,0,0,4,0,0,0
143,83.34,12.00,0,0,4,0,0,0
144,76.92,13.00,0,0,5,0,0,0
145,76.91,13.00,0,0,5,0,0,0
146,76.94,13.00,0,0,5,0,0,0
147,76.93,13.00,0,0,5,0,0,0
148,79.94,12.51,0,0,6,0,0,0
149,76.91,13.00,0,0,5,0,0,0
150,76.91,13.00,0,0,5,0,0,0
151,76.88,13.01,0,0,7,0,0,0
152,76.92,13.00,0,0,7,0,0,0
153,76.92,13.00,0,0,7,0,0,0
154,76.94,13.00,0,0,7,0,0,0
155,76.93,13.00,0,0,6,0,0,0
156,76.90,13.00,0,0,6,0,0,0
